Source,Normalization,Kernel,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,MinMax,rbf,None,-0.1015455163023129,0.00924615674860313,0.09615693811994602,0.40647941946280963,0.12269600000001901
ROC+BUF+SYR+ALB,MinMax,rbf,0,-0.03288633690887455,0.010382944584990818,0.10189673490839055,0.3516624062821898,0.11795399999999745
ROC+BUF+SYR+ALB,MinMax,rbf,42,-0.05228399799593708,0.012379133255791956,0.11126155335870498,0.40354010776457166,0.12589300000001913
ROC+BUF+SYR+ALB,MinMax,sigmoid,None,-654.5692695063649,7.120204751672652,2.6683711795161953,-0.146775545743348,0.7613699999999994
ROC+BUF+SYR+ALB,MinMax,sigmoid,0,-842.7744011692008,8.481923457127252,2.9123741959314313,-0.15726632529013712,0.7594100000000026
ROC+BUF+SYR+ALB,MinMax,sigmoid,42,-613.5174246815811,7.229220536116868,2.688720985174339,-0.18505835858556915,0.7620890000000031
ROC,ZScore,linear,None,-0.16331731956703543,0.012733229625960381,0.11284161300672896,0.3495564874417992,0.6462399999999775
ROC,ZScore,linear,0,-0.1658131812789576,0.011719172986542455,0.1082551291465788,0.23940741988058573,0.3621140000000196
ROC,ZScore,linear,42,-0.1535394596354942,0.013570308694076674,0.11649166791696595,0.2639109420980471,0.5582600000000184
ROC,ZScore,poly,None,-0.21507447626981335,0.009073404538733431,0.09525442004827614,0.1955301177369219,20.00565499999999
ROC,ZScore,poly,0,-0.1495090608849532,0.011555278110108532,0.10749547948685345,0.20516786804086037,1.6825810000000274
ROC,ZScore,poly,42,-1.2474387090718921,0.026439006310854708,0.1626007574116883,0.037676634842697884,3.9124400000000037
ROC,ZScore,rbf,None,-0.20249142790501673,0.010671534628274389,0.10330312012845685,0.2993218506819055,0.08966700000001993
ROC,ZScore,rbf,0,-0.1498102248706359,0.011558305518703845,0.1075095601270131,0.28728604573324573,0.08281699999997727
ROC,ZScore,rbf,42,-0.13728642081175924,0.013379106952157426,0.1156680896019184,0.27603420830722714,0.09026000000000067
ROC,ZScore,sigmoid,None,-1024887.4380231324,9021.303746656155,94.98054404274674,0.2229452059738479,0.44123500000000604
ROC,ZScore,sigmoid,0,-1196274.045756611,12025.386593524148,109.6603236978815,0.19328830027554053,0.45727300000004334
ROC,ZScore,sigmoid,42,-1060025.218826794,12470.21321476071,111.67010886876,-0.2197506808116962,0.4535359999999855
ROC,None,linear,None,-1.7586012968879028,0.023064266746578858,0.15186924226642753,0.06008225830094568,25.47638599999999
ROC,None,linear,0,-2.7601304329993,0.03779818216494971,0.19441754592872967,0.17780603154656074,23.419122000000016
ROC,None,linear,42,-0.6785675129179685,0.01974677079650416,0.1405232037654428,0.14617575352475085,24.95436099999995
ROC,None,poly,None,-0.28317534243474496,0.011420820258964053,0.10686823783970639,0.2879330581735561,0.0473479999999995
ROC,None,poly,0,-0.2475173540965101,0.012540492688830281,0.11198434126622472,0.30742242089623345,0.04417999999998301
ROC,None,poly,42,-0.21042411353092993,0.014239503238631483,0.11932938966839428,0.2908597462242149,0.04772199999996474
ROC,None,rbf,None,-0.2691561411860395,0.012817501615505045,0.1132144055123068,0.0932418815862822,0.0554960000000051
ROC,None,rbf,0,-0.2523583857962959,0.012589156478907595,0.1122014103249491,0.2706333203013245,0.05648899999999912
ROC,None,rbf,42,-0.20944748416258596,0.01422801411106205,0.1192812395603854,0.2555158137889022,0.04921799999999621
ROC,None,sigmoid,None,-0.24104644803722897,0.010599775865372788,0.10295521291014258,0.11291061021376102,0.059496000000024196
