Source,Normalization,Layers,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,ZScore,3,None,-3.8645381965678594,0.0487128137329536,0.2207097952809381,0.01261029737712075,20.734375
ROC+BUF+SYR+ALB,ZScore,3,0,-1.8663463693660716,0.028813543611762568,0.1697455260434353,0.14074108249140255,20.828125
ROC+BUF+SYR+ALB,ZScore,3,42,-1.998187234031887,0.03527085783550833,0.18780537222217136,0.07033180201998249,20.875
ROC+BUF+SYR+ALB,ZScore,4,None,-1.6193838674263548,0.017947621694878315,0.1339687340198388,0.0829335115724847,21.609375
ROC+BUF+SYR+ALB,ZScore,4,0,-0.8876090201707179,0.018974924107540477,0.1377494976671076,0.16897599343822425,21.75
ROC+BUF+SYR+ALB,ZScore,4,42,-0.4747836100139262,0.01734944450983735,0.131717290094495,-0.04878967231821839,21.140625
ROC+BUF+SYR+ALB,ZScore,5,None,-1.4967290672540536,0.021971736816134905,0.14822866394909895,0.14959740982163772,22.6875
ROC+BUF+SYR+ALB,ZScore,5,0,-1.9433066802504828,0.029587176309381458,0.17200923320967818,-0.10190885915188096,22.75
ROC+BUF+SYR+ALB,ZScore,5,42,-0.3012506663808352,0.015307992356621045,0.12372547173731464,0.01613971861929451,22.28125
ROC,MinMax,2,None,-0.5863210261711889,0.012349353804489909,0.1111276464453824,-0.15123212131646427,10.03125
ROC,MinMax,2,0,-0.13158398881534317,0.011375088845007287,0.1066540615495129,-0.038867370412126796,9.90625
ROC,MinMax,2,42,-0.43756435891262635,0.016911594965473616,0.13004458837442492,0.07843314775151256,8.640625
ROC,MinMax,3,None,-0.07998074179723114,0.008222636377497717,0.09067875372708713,-0.11866478465306118,9.34375
ROC,MinMax,3,0,-0.04305442828215478,0.010485157892971874,0.10239705998207113,-0.052519841155807295,9.5
ROC,MinMax,3,42,-2.536245406571895,0.04160060705713089,0.20396226870951129,-0.24274476286530572,9.890625
ROC,MinMax,4,None,-0.043055956800927664,0.005296550213239294,0.0727774018033022,0.09968807414504753,10.390625
ROC,MinMax,4,0,-0.14275035169210826,0.011487337136830299,0.1071789957819642,0.12086152362103304,9.203125
ROC,MinMax,4,42,0.036257133845840284,0.01133752997020038,0.10647783792977945,0.24003999013610477,10.25
ROC,MinMax,5,None,0.03592296132004602,0.010334112578064818,0.10165683734046037,0.19154840727124658,10.546875
ROC,MinMax,5,0,-0.19425816184544953,0.01200511215176261,0.1095678426901005,0.16283777560480941,10.640625
ROC,MinMax,5,42,0.004029128227696077,0.011716662197693363,0.10824353189772294,0.07024912188173568,10.34375
ROC,None,2,None,-6063803.929902925,58328.35913498696,241.5126479813986,-0.05345541139445334,7.9375
ROC,None,2,0,-22513.34513418168,226.32228691799392,15.044011663050316,-0.019006775055589602,8.0625
ROC,None,2,42,-1324817.9202380355,15585.250735214902,124.84090169177288,0.03162492708033705,8.15625
ROC,None,3,None,-1038511.6714306443,9434.055833953524,97.12906791457192,0.11892529385582412,8.875
ROC,None,3,0,-1683.478308332583,16.932981205248833,4.114970377201862,0.17181906097515734,9.15625
ROC,None,3,42,-547.9157057953591,6.457477906324753,2.5411568047495128,0.1230110594608965,9.40625
ROC,None,4,None,-1314.1576841127994,14.290200487322013,3.7802381521965005,-0.06746646016367712,9.546875
ROC,None,4,0,-597.2236249781432,6.013558826006988,2.452255864710489,-0.011748069905267094,9.953125
ROC,None,4,42,-208936.61805017092,2457.9549065810415,49.577766252434586,0.11290872309399926,9.4375
ROC,None,5,None,-34.52316209585863,0.30340327458405675,0.5508205466248121,0.19856141723476128,10.34375
ROC,None,5,0,-46694.904253188244,469.40400785809334,21.66573349457833,0.04026163592511476,9.9375
ROC,None,5,42,-5874.540944862559,69.12022272013702,8.313857270854307,0.05976065629672633,10.59375
ROC,ZScore,2,None,-44.37055383594197,0.5230659658780219,0.7232329955678335,0.21293055218672022,8.40625
ROC,ZScore,2,0,-12.263075328529503,0.1333251987578862,0.36513723277404375,-0.12823624721581336,8.171875
