Source,Normalization,Reservoir Size,Random State,Process Runtime,Accuracy
ROC,MinMax,100,0,17.306989000000044,0.9506348435440227
ROC,MinMax,100,42,17.21464100000003,0.9522306251300909
ROC,MinMax,200,None,25.4508679999999,0.9537570249080691
ROC,MinMax,200,0,25.631917000000044,0.9540345521404288
ROC,MinMax,200,42,25.4214189999999,0.9544161520849234
ROC+BUF+SYR+ALB,MinMax,400,None,70.46875,0.9549712065496427
ROC+BUF+SYR+ALB,MinMax,400,0,70.296875,0.9553181155900923
ROC+BUF+SYR+ALB,MinMax,400,42,71.71875,0.954693679317283
ROC+BUF+SYR+ALB,MinMax,600,None,94.09375,0.9556650246305419
ROC+BUF+SYR+ALB,MinMax,600,0,93.6875,0.9558384791507667
ROC+BUF+SYR+ALB,MinMax,600,42,94.09375,0.955526261014362
ROC+BUF+SYR+ALB,MinMax,1000,None,152.5625,0.9568098244640255
ROC+BUF+SYR+ALB,MinMax,1000,0,154.390625,0.9566016790397558
ROC+BUF+SYR+ALB,MinMax,1000,42,152.84375,0.9562894609033511
ROC+BUF+SYR+ALB,None,400,None,71.4375,0.9464719350586276
ROC+BUF+SYR+ALB,None,400,0,69.90625,0.9460209533060432
ROC+BUF+SYR+ALB,None,400,42,70.78125,0.9452230625130091
ROC+BUF+SYR+ALB,None,600,None,91.90625,0.944425171719975
ROC+BUF+SYR+ALB,None,600,0,93.140625,0.9456393533615486
ROC+BUF+SYR+ALB,None,600,42,92.140625,0.9449455352806494
ROC+BUF+SYR+ALB,None,1000,None,160.5,0.9467147713869424
ROC+BUF+SYR+ALB,None,1000,0,164.640625,0.9443557899118851
ROC+BUF+SYR+ALB,None,1000,42,163.078125,0.9446680080482898
ROC+BUF+SYR+ALB,ZScore,400,None,72.03125,0.9424824810934573
ROC+BUF+SYR+ALB,ZScore,400,0,72.765625,0.9187539027267051
ROC+BUF+SYR+ALB,ZScore,400,42,71.9375,0.923957538333449
ROC+BUF+SYR+ALB,ZScore,600,None,94.0625,0.8238742801637411
ROC+BUF+SYR+ALB,ZScore,600,0,93.21875,0.9424824810934573
ROC+BUF+SYR+ALB,ZScore,600,42,95.640625,0.9393949906334559
ROC+BUF+SYR+ALB,ZScore,1000,None,152.359375,0.938493027128287
ROC+BUF+SYR+ALB,ZScore,1000,0,155.515625,0.9437313536390758
ROC+BUF+SYR+ALB,ZScore,1000,42,153.265625,0.9364809546936793
ROC,MinMax,400,None,49.375,0.9570873516963853
ROC,MinMax,400,0,48.703125,0.9550752792617776
ROC,MinMax,400,42,48.734375,0.9562200790952612
ROC,MinMax,600,None,70.046875,0.9570873516963853
ROC,MinMax,600,0,70.921875,0.9564976063276209
ROC,MinMax,600,42,70.21875,0.9576077152570596
ROC,MinMax,1000,None,128.875,0.9576424061611045
ROC,MinMax,1000,0,130.171875,0.9573648789287449
ROC,MinMax,1000,42,128.8125,0.9578852424894193
ROC,None,400,None,48.546875,0.9468535350031222
ROC,None,400,0,48.890625,0.946159716922223
ROC,None,400,42,49.03125,0.9449802261846943
ROC,None,600,None,70.9375,0.9475473530840214
ROC,None,600,0,70.625,0.9458474987858183
ROC,None,600,42,70.4375,0.945292444321099
ROC,None,1000,None,127.84375,0.9467494622909873
ROC,None,1000,0,126.625,0.9463678623464927
ROC,None,1000,42,128.453125,0.946194407826268
ROC,ZScore,400,None,50.21875,0.9508082980642476
ROC,ZScore,400,0,49.296875,0.9560466245750364
ROC,ZScore,400,42,49.546875,0.9553181155900923
ROC,ZScore,600,None,71.015625,0.9560119336709915
ROC,ZScore,600,0,71.125,0.9562200790952612
ROC,ZScore,600,42,70.734375,0.9567751335599806
ROC,ZScore,1000,None,129.671875,0.9588218968986332
ROC,ZScore,1000,0,129.296875,0.9578852424894193
ROC,ZScore,1000,42,129.40625,0.958093387913689
